Episode,Total_PnL,Max_Drawdown,Sharpe_Ratio,Num_Trades
1,-10977.10,-10977.10,-0.75,376
2,-10519.96,-10519.96,-0.66,393
3,-11419.92,-11583.70,-0.66,405
4,-10894.92,-10925.34,-0.72,405
5,-12984.31,-12984.31,-0.66,466
6,-10872.82,-10872.82,-0.75,410
7,-11546.15,-11546.15,-0.70,414
8,-10702.56,-10702.56,-0.73,363
9,-9114.20,-9134.62,-0.60,371
10,-8309.36,-8354.78,-0.59,323
11,-9095.16,-9121.42,-0.70,333
12,-11099.50,-11099.50,-0.68,406
13,-10257.56,-10257.56,-0.81,363
14,-9637.10,-9637.10,-0.77,376
15,-9785.12,-9790.54,-0.76,345
16,-8548.14,-8583.56,-0.63,314
17,-7490.69,-7490.69,-0.66,296
18,-6178.33,-6179.17,-0.64,254
19,-9311.92,-9311.92,-0.74,305
20,-5898.49,-5928.91,-0.68,206
21,-9825.50,-9825.50,-0.76,356
22,-6672.38,-6672.38,-0.54,292
23,-6667.91,-6667.91,-0.79,255
24,-8457.37,-8457.37,-0.64,292
25,-10679.44,-10679.44,-0.91,299
26,-6499.71,-6499.71,-0.95,215
27,-5220.55,-5220.55,-0.63,213
28,-6784.93,-6784.93,-0.75,274
29,-10077.68,-10093.10,-0.80,327
30,-7164.97,-7175.39,-0.66,262
31,-4323.91,-4323.91,-0.54,205
32,-6036.31,-6047.57,-0.74,235
33,-9512.04,-9522.46,-0.82,269
34,-4999.49,-4999.49,-0.72,156
35,-8887.99,-8888.41,-0.76,231
36,-5774.75,-5774.75,-0.80,203
37,-8185.32,-8185.74,-0.87,285
38,-4881.93,-4881.93,-0.78,174
39,-6932.49,-6932.49,-0.77,256
40,-6460.97,-6466.39,-0.77,212
41,-1371.44,-1371.44,-0.71,68
42,-6594.17,-6594.17,-0.58,252
43,-3959.53,-3959.53,-0.94,144
44,-5097.23,-5097.23,-0.65,209
45,-5932.35,-5932.35,-0.93,173
46,-4197.89,-4197.89,-0.83,136
47,-6592.53,-6603.37,-0.79,244
48,-7010.01,-7042.53,-0.74,250
49,-6644.17,-6644.17,-0.63,252
50,-7573.60,-7573.60,-0.65,301
51,-7390.89,-7390.89,-0.80,236
52,-7790.31,-7806.15,-0.73,285
53,-6271.57,-6271.57,-0.68,282
54,-4543.49,-4583.91,-0.65,206
55,-4819.03,-4819.03,-0.78,169
56,-7599.17,-7605.01,-0.73,252
57,-8596.61,-8643.71,-0.75,270
58,-5063.87,-5063.87,-0.74,217
59,-5947.69,-5988.11,-0.74,196
60,-4588.65,-4588.65,-0.82,158
61,-5585.93,-5585.93,-0.63,224
62,-6119.63,-6119.63,-0.74,239
63,-7187.07,-7197.49,-0.71,257
64,-3207.50,-3232.92,-0.75,125
65,-7319.71,-7319.71,-0.78,215
66,-5310.35,-5310.35,-0.49,273
67,-2953.76,-2953.76,-0.50,122
68,-8805.74,-8805.74,-0.69,284
69,-6159.21,-6159.21,-0.67,240
70,-8423.21,-8423.21,-0.85,290
71,-7001.15,-7011.57,-0.66,283
72,-3732.88,-3732.88,-0.73,136
73,-3905.21,-3905.21,-0.55,190
74,-4536.05,-4536.05,-0.86,188
75,-5009.03,-5009.03,-0.80,169
76,-7484.25,-7484.25,-0.78,228
77,-6776.73,-6776.73,-0.89,234
78,-5180.93,-5201.77,-0.66,224
79,-4732.39,-4732.81,-0.97,161
80,-6248.07,-6323.91,-0.78,207
81,-5759.21,-5759.21,-1.00,240
82,-6455.09,-6455.09,-0.76,226
83,-5420.59,-5486.01,-0.77,201
84,-3677.27,-3677.27,-0.57,197
85,-7910.31,-7910.31,-0.93,285
86,-7430.43,-7430.43,-0.77,249
87,-7923.71,-7923.71,-0.82,265
88,-6051.43,-6051.43,-0.83,199
89,-3637.08,-3637.08,-0.98,126
90,-6972.23,-6972.65,-0.81,209
91,-4348.19,-4348.19,-0.62,171
92,-7460.47,-7460.47,-0.87,237
93,-5182.35,-5182.35,-0.81,173
94,-6362.53,-6362.53,-0.79,244
95,-6677.53,-6677.53,-0.70,244
96,-6361.23,-6361.23,-0.73,259
97,-8991.12,-9011.54,-0.86,295
98,-9041.54,-9118.21,-0.78,294
99,-9251.65,-9251.65,-0.80,258
100,-7619.36,-7635.62,-0.62,323
